RxCUI,TTY,RxNorm Description,Related BN,Related SCDC,Related DF
861604,SBD,PENTAMIDINE ISETHIONATE 300 MG INJECTION [PENTAM],PENTAM,PENTAMIDINE ISETHIONATE 300 MG,INJECTION
861597,SCD,PENTAMIDINE ISETHIONATE 50 MG/ML INHALATION SOLUTION,,PENTAMIDINE ISETHIONATE 50 MG/ML,INHALATION SOLUTION
861599,SBD,PENTAMIDINE ISETHIONATE 50 MG/ML INHALATION SOLUTION [NEBUPENT],NEBUPENT,PENTAMIDINE ISETHIONATE 50 MG/ML,INHALATION SOLUTION
211140,SBD,PENTOSAN POLYSULFATE 100 MG ORAL CAPSULE [ELMIRON],ELMIRON,PENTOSAN POLYSULFATE 100 MG,ORAL CAPSULE
312301,SCD,PENTOXIFYLLINE 400 MG EXTENDED RELEASE ORAL TABLET,,PENTOXIFYLLINE 400 MG,EXTENDED RELEASE ORAL TABLET
1790122,SCD,PERAMPANEL 0.5 MG/ML ORAL SUSPENSION,,PERAMPANEL 0.5 MG/ML,ORAL SUSPENSION
1790126,SBD,PERAMPANEL 0.5 MG/ML ORAL SUSPENSION [FYCOMPA],FYCOMPA,PERAMPANEL 0.5 MG/ML,ORAL SUSPENSION
1356584,SBD,PERAMPANEL 10 MG ORAL TABLET [FYCOMPA],FYCOMPA,PERAMPANEL 10 MG,ORAL TABLET
1356582,SCD,PERAMPANEL 10 MG ORAL TABLET,,PERAMPANEL 10 MG,ORAL TABLET
1356586,SCD,PERAMPANEL 12 MG ORAL TABLET,,PERAMPANEL 12 MG,ORAL TABLET
1356588,SBD,PERAMPANEL 12 MG ORAL TABLET [FYCOMPA],FYCOMPA,PERAMPANEL 12 MG,ORAL TABLET
1356563,SBD,PERAMPANEL 2 MG ORAL TABLET [FYCOMPA],FYCOMPA,PERAMPANEL 2 MG,ORAL TABLET
1356557,SCD,PERAMPANEL 2 MG ORAL TABLET,,PERAMPANEL 2 MG,ORAL TABLET
1356570,SCD,PERAMPANEL 4 MG ORAL TABLET,,PERAMPANEL 4 MG,ORAL TABLET
1356572,SBD,PERAMPANEL 4 MG ORAL TABLET [FYCOMPA],FYCOMPA,PERAMPANEL 4 MG,ORAL TABLET
